id,created_at,text,retweet_count,favorite_count,media_count
894921592399986688,2017-08-08 14:01:49,You might surprise your coworkers with your uncharacteristical... More for Cancer https://t.co/8Mbauze6HK,0,0,0
894637366366916608,2017-08-07 19:12:24,RT @VLR: https://t.co/cEpc1BHiaY,1758,0,1
894595490372878336,2017-08-07 16:26:00,blown*,0,0,0
894559245265379328,2017-08-07 14:01:58,You might surprise your coworkers with your uncharacteristical... More for Cancer https://t.co/8Mbauze6HK,0,0,0
894553225583579136,2017-08-07 13:38:03,my car engine could of blow up at any point hahahaha LIFE,0,0,0
894476350194679808,2017-08-07 08:32:35,garage heard my car coming in before I even said it was there😩😩,0,0,0
894196751803981824,2017-08-06 14:01:33,You might surprise your coworkers with your uncharacteristical... More for Cancer https://t.co/8Mbauze6HK,0,0,0
894130201076137984,2017-08-06 09:37:06,bacon roll n a cup of tea please,0,1,0
894119624538804224,2017-08-06 08:55:05,@EllleWood I'm training to be a priest 😂,0,0,0
894117890689032192,2017-08-06 08:48:11,@EllleWood Walking down past it telling me it wasn't that one hahahahaha,0,0,0
894116516387540992,2017-08-06 08:42:44,@EllleWood not even knowing ur own house hahahahahaha,0,0,0
894042485714014208,2017-08-06 03:48:33,so cold tonight😨,0,0,0
894037888123506688,2017-08-06 03:30:17,tooooooooo gassed,0,0,0
893876451694571520,2017-08-05 16:48:48,think I'll take a jacket out tonight after looking at the weather 😨,0,0,0
893834198871560193,2017-08-05 14:00:54,You might surprise your coworkers with your uncharacteristical... More for Cancer https://t.co/8Mbauze6HK,0,0,0
893541758369398788,2017-08-04 18:38:51,"""What have you got to be feeling down about"" maybe you don't understand what goes through my head",1,2,0
893523340278845440,2017-08-04 17:25:39,"RT @NathanAird6: Fuck all wrong with your mum being your best friend, first person and last person that will b there for u ❤️❤️❤️",335,0,0
893516930845421568,2017-08-04 17:00:11,The last episode of wild at heart just actual broke my heart,0,0,0
893471703493361664,2017-08-04 14:00:28,You might surprise your coworkers with your uncharacteristical... More for Cancer https://t.co/8Mbauze6HK,0,0,0
893349802930515968,2017-08-04 05:56:05,so happy that I'm actually off tomorrow 😴👏🏼,0,0,0
892966144444952576,2017-08-03 04:31:34,See fucking seagulls 😠😴,0,0,0
892712426470289408,2017-08-02 11:43:22,"27 pence in ma bank, am rich",0,0,0
892623333686169604,2017-08-02 05:49:21,sick of waking up the the most stupid times 😴,0,1,0
892478244150276096,2017-08-01 20:12:49,Cannot find a bloody mustard clutch anywhere 😭,0,0,0
892465093052694530,2017-08-01 19:20:34,always gr8 when you buy a sexy top and when you try it on and ur tits are too big for it 🤗,0,1,0
892147653156503553,2017-07-31 22:19:10,omg you make me so angry,0,0,0
892125436951617536,2017-07-31 20:50:53,"and well I think I've got mad, isn't that so sad",0,0,0
892123840826015745,2017-07-31 20:44:33,"RT @Zoella: Not everyone is worth making the effort for. Only give back to those in your life that always have time for you, ask questions…",24058,0,0
892103899737456640,2017-07-31 19:25:18,feel so fat and disgusting these days 😩,0,0,0
892063394307743745,2017-07-31 16:44:21,need to get my next tattoo booked 👅👏🏼,0,1,0
892003522572677120,2017-07-31 12:46:27,just bought the sexiest heels 😍,0,0,0
891503709070479361,2017-07-30 03:40:22,why am I awake😫,0,1,0
891408645455564801,2017-07-29 21:22:37,@Sarahgreene04 💗💗,0,1,0
891355614093422592,2017-07-29 17:51:53,made my day at work seeing Sarah and tam 🙋🏼,1,1,0
891136973498404865,2017-07-29 03:23:05,love waking up at this time,0,3,0
891029096431583233,2017-07-28 20:14:25,"I hope when @chrishughes_22  and @KemCetinay bring out a song it'll be called ""little bit leave it"" 😂",0,1,0
890867677631320064,2017-07-28 09:33:00,£100 later on cult beauty.. oops🤷🏼‍♀️ @jamie_genevieve your code was too tempting 😬,0,2,0
890673362640306176,2017-07-27 20:40:52,really just want my own wee house now,0,0,0
890665586539233280,2017-07-27 20:09:58,find it incredible how my dad risks his life to go in to burning fires to rescue people. My dad is an absolute hero,0,2,0
890594899502002178,2017-07-27 15:29:05,😴,0,0,0
890296180122451968,2017-07-26 19:42:04,missing @chrishughes_22 and  @KemCetinay being on my tv 😅😅,0,0,0
890151212850532353,2017-07-26 10:06:02,Today is defo a dovet/movie day,0,0,0
889964082215956482,2017-07-25 21:42:26,can I just find the love of my life so we can go travelling????,0,2,0
889890319327780869,2017-07-25 16:49:20,relaxing baths are the best💆🏼,0,0,0
